abd.	abdias
abh.	abhandlung
abr.	abrégé
abrév.	abréviation
abs.	absolu
absol.	absolument
abstr.	abstrait, abstraitement
ac.	académie, académique
acc.	accusatif
accept.	acception
acoust.	acoustique
acquis.	acquisition
actuell.	actuellement
acup.	acupuncture
adapt.	adaptation
adapt.	adaptation
add.	addendum, addenda, addition
adj.	adjectif, adjectival, adjectivement
admin.	administratif, administration
adv.	adverbe, adverbial
aérodyn.	aérodynamique
aéron.	aéronautique, aéronaut
aéronav.	aéronavale
aérospat.	aérospatiale
aff.	affixe
affirm.	affirmatif, affirmative, affirmation
agn.	anglo-normand
agr.	agrément
agric.	agricole, agriculture
agron.	agronomie
ags.	saxon
ajust.	ajustage
ak.	akademie
ajust.	ajustage
ak.	akademie
alchim.	alchimie
aléman.	alémanique
alg.	algèbre
alim.	alimentaire, alimentation
all.	allemand
allergol.	allergologie
allop.	allopathie
allus.	allusion
alph.	alphabet, alphabétique
alpin.	alpinisme
alsac.	alsacien
altér.	altération
amén.	aménagement
amér.	américain
ameubl.	ameublement
anachr.	anachronisme
anal.	analogie, analogique
anat.	anatomie
anc.	ancien
and.	andalou
anesthésiol.	anesthésilogie
ang.	angevin
angl.	anglais
anglic.	anglicisme
anim.	animisme
ann.	annales
ant.	antérieur, antérieurement, antériorité
anthropol.	anthropologie, anthropologique
anthropon.	anthroponyme, anthroponymie
antiphr.	antiphrase
antiq.	antiquité, antiquités
anton.	antonyme, antonymie, antonymique
ap.	apud
apic.	apiculture
apoc.	apocalypse
append.	appendice
appl.	appliqué
appos.	apposition, appositionnel
appréc.	appréciatif
apr.	après
axiol.	axiologie
ar.	arabe
arboric.	arboriculture
arch.	archaïque, archaïsme, archives
archéol.	archéologie, archéologique
archit.	architecture
archiv.	archivistique
arg.	argot, argotique
arithm.	arithmétique
arm.	armée, armement
armur.	armurerie
arpent.	arpentage
art.	article
artif.	artificiel(s)
artill.	artillerie
artis.	artisanal, artisanat
artist.	artistique
axiol.	axiologie
ass.	assemblée
assim.	assimilation
assoc.	association
assur.	assurances
astrol.	astrologie, astrologique
astrom.	astrométrie
astron.	astronomie, astronomique
astronaut.	astronautique
astrophys.	astrophysique
athl.	athlétisme
atom.	atomique
att.	attesté
attest.	attestation
attrib.	attribution
aufl.	auflage
augm.	augmenté, augmentatif
auj.	aujourd'hui
aurev.	[Barbey d']Aurévilly
ausg.	ausgabe
ausgew.	ausgewÃ¤hlt
aust.	Austerlitz
aut.	auteur
autom.	automatique
automat.	automatisation
automob.	automobile
autr.	autrichien
auv.	auvergnat
auxil.	auxiliaire
av.	avant
aviat.	aviation
avr.	avril
axiol.	axiologie
b.n.	bibliothèque nationale
bactériol.	bactériologie, bactériologique
badm.	badminton
balist.	balistique
bar.	baruch
bât.	bâtiment
baudel.	baudelaire
bbg.	bibliographie, bibliographique, bibliogr, 
bd.	band
bearb.	bearbeitet
beih.	beiheft
beitr.	beitrag
berr.	berrichon
bibl.	bibliothèque
biblioph.	bibliophilie
